run_id,name,url,seed,epochs,stride,dropout,padding,activation,batch_size,kernel_size,channel_mult,max_channels,base_channels,learning_rate,n_conv_layers,apply_dropout_at,_step,train_accuracy,train_loss,test_accuracy,_runtime,epoch,test_loss,_timestamp
pz9yom7x,peach-sweep-1,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/pz9yom7x,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,2,2,18,53.724,1.3027864311204846,52.51,255.7796952,19,1.3169525277083087,1757370056.513484
pz9yom7x,peach-sweep-1,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/pz9yom7x,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,2,2,19,53.898,1.2903830866374628,53.99,269.2693318,20,1.299930462412014,1757370070.002801
pz9yom7x,peach-sweep-1,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/pz9yom7x,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,2,2,20,54.308,1.284791066518525,53.64,282.8752062,21,1.2966428182686969,1757370083.6088734
pz9yom7x,peach-sweep-1,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/pz9yom7x,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,2,2,21,54.72,1.2759834515774036,54.1,296.5124561,22,1.2885719268185318,1757370097.24601
pz9yom7x,peach-sweep-1,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/pz9yom7x,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,2,2,22,55.03,1.2684085765458128,54.2,309.9699506,23,1.281925141052076,1757370110.7034776
pz9yom7x,peach-sweep-1,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/pz9yom7x,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,2,2,23,55.286,1.2596111306753914,54.82,323.4537516,24,1.2779182263999989,1757370124.188298
pz9yom7x,peach-sweep-1,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/pz9yom7x,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,2,2,24,55.198,1.256540460964603,53.35,336.8722553,25,1.2798120360465566,1757370137.6057293
pz9yom7x,peach-sweep-1,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/pz9yom7x,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,2,2,25,55.766,1.2471992868901518,54.49,350.3299529,26,1.2895538222258258,1757370151.0637841
pz9yom7x,peach-sweep-1,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/pz9yom7x,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,2,2,26,55.928,1.2405697470888153,55.34,363.7465195,27,1.2581954894551806,1757370164.4802017
pz9yom7x,peach-sweep-1,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/pz9yom7x,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,2,2,27,56.276,1.233703757567174,55.38,377.1268253,28,1.2510777681496492,1757370177.8604043
pz9yom7x,peach-sweep-1,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/pz9yom7x,42,30,2,0.2,1,ReLU,64,3,2,128,32,0.0005,2,2,28,56.492,1.2269729163945484,55.43,390.5096184,29,1.238624070480371,1757370191.2432923
