run_id,name,url,seed,epochs,stride,dropout,padding,activation,batch_size,kernel_size,channel_mult,max_channels,base_channels,learning_rate,n_conv_layers,apply_dropout_at,_step,train_accuracy,train_loss,test_accuracy,_runtime,epoch,test_loss,_timestamp,runtime_min
spa3h8gf,sparkling-sweep-18,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/spa3h8gf,42,30,2,0.2,1,ReLU,64,3,3,128,32,0.001,5,2,29,89.218,0.30697861994090286,71.29,311.0382988,30,1.0607363782870542,1757370942.32724,5.1839716466666665
mqjjfm6z,ethereal-sweep-19,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/mqjjfm6z,42,30,2,0.3,1,ReLU,64,3,3,128,32,0.0005,2,2,29,58.526,1.1805476662143113,57.63,286.6403287,30,1.197041853597969,1757370924.0249605,4.777338811666667
ivs5p2jc,clean-sweep-20,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/ivs5p2jc,42,30,2,0.3,1,ReLU,64,3,3,128,32,0.0005,3,2,29,73.884,0.7367130330837596,68.55,413.7685644,30,0.898567144278508,1757371057.349945,6.89614274
717wwsru,warm-sweep-21,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/717wwsru,42,30,2,0.3,1,ReLU,64,3,3,128,32,0.0005,5,2,29,85.788,0.3973595910822339,73.28,308.5961213,30,0.848171091952901,1757371009.1621041,5.143268688333333
o74ty3qe,pious-sweep-22,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/o74ty3qe,42,30,2,0.3,1,ReLU,64,3,3,128,32,0.001,2,2,29,64.198,1.0226369250918288,62.18,288.2954858,30,1.0810897141505198,1757371002.520915,4.804924763333333
u0untnsl,rosy-sweep-23,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/u0untnsl,42,30,2,0.3,1,ReLU,64,3,3,128,32,0.001,3,2,29,81.364,0.5200068765055493,69.04,291.6087713,30,0.9699758963220438,1757371137.9736016,4.860146188333333
fcu2xz5i,electric-sweep-24,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/fcu2xz5i,42,30,2,0.3,1,ReLU,64,3,3,128,32,0.001,5,2,29,84.736,0.4253244174029821,72.28,298.2392391,30,0.8983337235678533,1757371234.7831419,4.970653985
q9umquoj,fallen-sweep-25,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/q9umquoj,42,30,2,0.2,1,ReLU,128,3,2,128,32,0.0005,2,2,29,53.814,1.3008651943767773,52.98,221.7039832,30,1.3115699230870115,1757371173.6135397,3.695066386666667
aig2kmu0,fragrant-sweep-26,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/aig2kmu0,42,30,2,0.2,1,ReLU,128,3,2,128,32,0.0005,3,2,29,67.432,0.9185480083650945,65.68,224.3425425,30,0.9779558377929881,1757371237.3679008,3.739042375
he8e5lvq,lucky-sweep-27,https://wandb.ai/marcocassar-belmont-university/dl_class_projects-CIFAR10-CNN/runs/he8e5lvq,42,30,2,0.2,1,ReLU,128,3,2,128,32,0.0005,5,2,29,86.86,0.3653732651411115,72.09,231.2656338,30,0.9231864213943481,1757371251.3889558,3.8544272299999998
